ds,yhat,yhat_lower,yhat_upper
2009-07-01,5.316449775488351,4.585680352814513,6.039589055668793
2009-10-01,5.52377396708523,4.75191748880497,6.199109583992879
2010-01-01,4.977460319174508,4.276154848523512,5.760850584632578
2010-04-01,5.421780807663211,4.671478910898702,6.130942022474091
2010-07-01,5.283900482843553,4.565456205031704,6.0634082722882505
2010-10-01,5.696234179856326,4.98344391098794,6.4584854797748
2011-01-01,5.395199711212911,4.66153033828982,6.106495016597349
2011-04-01,5.739142150450782,4.998599262546668,6.503492081612485
2011-07-01,5.414451129855024,4.655685262843375,6.141373936848546
2011-10-01,5.893516336362165,5.158945478565665,6.628990773180999
2012-01-01,5.834094238451932,5.0657877700425304,6.5671088507413655
2012-04-01,5.8493826370407085,5.155286037645691,6.538070384281079
2012-07-01,6.402711425904176,5.601169810109069,7.099634082929614
2012-10-01,6.26637329565882,5.483300247778901,7.01442096229937
2013-01-01,5.472202408949375,4.7363118171352845,6.217512531440971
2013-04-01,6.052237981963469,5.387823802057304,6.839841243533633
2013-07-01,6.207530335658802,5.461250221580293,6.998936797819193
2013-10-01,6.414854527272137,5.6541495819800165,7.142402326048992
2014-01-01,5.868540879445668,5.145181554580553,6.619662593546337
2014-04-01,6.312861368047127,5.560057608344078,7.067458866095113
2014-07-01,6.174981043273114,5.488883493775915,6.8657035801593835
2014-10-01,6.587314740350916,5.848875952112505,7.263603688870968
2015-01-01,6.2862802717783985,5.557932954285529,7.017880061932998
2015-04-01,6.630222711061101,5.945735666188188,7.381283693496835
2015-07-01,6.305531690516258,5.596872069172268,7.011702859162319
2015-10-01,6.784596834711799,6.070585595956886,7.478783237237154
2016-01-01,6.725174674485714,6.002390826911168,7.4992600352518055
2016-04-01,6.740463003441736,6.054134579340526,7.477187014411314
2016-07-01,7.293791722657176,6.562194866085887,8.011632826896978
2016-10-01,7.157378626648132,6.436960402483009,7.873598931968045
2017-01-01,6.363132774176755,5.604602085254332,7.0486319953764465
2017-04-01,6.942985744497399,6.218200785317083,7.6600400797084625
2017-07-01,7.098093466590434,6.368309918641303,7.8259158705719445
2017-10-01,7.305121464176899,6.53862998103129,7.970452961131423
2018-01-01,6.758511622273506,5.98646315877923,7.545810280480938
2018-04-01,7.123847858211228,6.407975639952535,7.91432146553378
2018-07-01,6.9061056779886485,6.14341728545457,7.697157977705366
2018-10-01,7.237612168899911,6.579861792516399,7.9933237424258206
2019-01-01,6.855750494168266,6.119557414646528,7.626907004782629
2019-04-01,7.120463301802001,6.441088239999998,7.916323715796291
2019-07-01,6.715661851859576,5.982826651340785,7.446021779133616
2019-10-01,7.113736294637597,6.345177273301684,7.830357825094803
2020-01-01,6.973275980057135,6.251107185035609,7.689590494989486
2020-04-01,6.908407012166414,6.163896423069964,7.63911099098759
2020-07-01,7.381533491647897,6.641703635893625,8.04864159952763
2020-10-01,7.164111707990308,6.460367316951283,7.840600564881864
2021-01-01,6.288828323836963,5.61684858516658,7.010647126536756
2021-04-01,6.7895147145410775,6.057762044232639,7.4928536381470305
2021-07-01,6.86457622833024,6.1233986606544315,7.569800368509939
2021-10-01,6.990787922447215,6.253157906718547,7.691915967218185
2022-01-01,6.363361777065137,5.642497537541784,7.072312137028149
2022-04-01,6.728333083280731,5.978918129952952,7.426972193868111
2022-07-01,6.510221918542122,5.784670870123812,7.220277265482939
2022-10-01,6.841443118052375,6.115061717218675,7.591690436193684
2023-01-01,6.459296151923976,5.68799223490711,7.212105138083223
2023-04-01,6.723889408815566,5.950129556345552,7.491252124474586
2023-07-01,6.318967548292189,5.605320235013085,7.045607653088223
2023-10-01,6.716920257322986,5.9459044038882825,7.470229109826053
2024-01-01,6.576385661928352,5.77843990357352,7.302596649896362
2024-04-01,6.5114432206306745,5.732094564303169,7.28152955711093
2024-07-01,6.98454116958391,6.290723971034345,7.772481995651677
2024-10-01,6.767090541857296,6.029929211969454,7.5870273044499745
2025-01-01,5.89180715765082,5.18184261047969,6.614955460587901
2025-04-01,6.392493548316519,5.674881809503084,7.16282890034878
2025-07-01,6.467555062101166,5.729423439468763,7.229351069654248
2025-10-01,6.593766756216841,5.832651577334845,7.359763685491689
2026-01-01,5.966340610835065,5.1628411678232515,6.717318223955761
2026-04-01,6.331311917056304,5.566631076259192,7.02412790441154
